Duration_Seconds,Min_IOPS
2.7900,36610.00
2.8000,36602.50
2.8100,36594.50
2.8200,36587.00
2.8300,36580.00
2.8400,36573.00
2.8500,36566.50
2.8600,36560.00
2.8700,36553.50
2.8800,36546.50
2.8900,36539.50
2.9000,36533.00
2.9100,36526.50
2.9200,36520.00
2.9300,36513.50
2.9400,36507.00
2.9500,36500.50
2.9600,36494.00
2.9700,36487.50
2.9800,36481.00
2.9900,36474.50
3.0000,36468.00
3.0100,36461.50
3.0200,36455.50
3.0300,36449.00
3.0400,36442.50
3.0500,36436.00
3.0600,36429.50
3.0700,36423.50
3.0800,36417.50
3.0900,36411.50
3.1000,36405.50
3.1100,36399.50
3.1200,36393.50
3.1300,36387.50
3.1400,36381.50
3.1500,36375.50
3.1600,36369.50
3.1700,36363.50
3.1800,36358.00
3.1900,36352.50
3.2000,36346.50
3.2100,36341.00
3.2200,36335.50
3.2300,36329.50
3.2400,36323.50
3.2500,36318.00
3.2600,36312.50
3.2700,36307.00
3.2800,36302.00
3.2900,36296.50
3.3000,36291.00
3.3100,36285.50
3.3200,36279.50
3.3300,36273.00
3.3400,36266.50
3.3500,36261.00
3.3600,36256.00
3.3700,36251.00
3.3800,36245.50
3.3900,36239.50
3.4000,36234.00
3.4100,36228.50
3.4200,36223.00
3.4300,36217.50
3.4400,36212.50
3.4500,36207.50
3.4600,36201.50
3.4700,36196.00
3.4800,36190.50
3.4900,36185.00
3.5000,36180.00
3.5100,36174.50
3.5200,36169.00
3.5300,36164.00
3.5400,36159.00
3.5500,36153.50
3.5600,36148.50
3.5700,36144.00
3.5800,36139.00
3.5900,36133.50
3.6000,36128.00
3.6100,36123.00
3.6200,36118.50
3.6300,36114.00
3.6400,36109.00
3.6500,36104.00
3.6600,36099.00
3.6700,36094.00
3.6800,36089.00
3.6900,36084.00
3.7000,36079.00
3.7100,36074.00
3.7200,36069.50
3.7300,36064.50
3.7400,36059.50
3.7500,36054.50
3.7600,36049.00
3.7700,36044.00
3.7800,36039.50
3.7900,36035.00
3.8000,36030.00
3.8100,36025.00
3.8200,36020.00
3.8300,36015.00
3.8400,36010.50
3.8500,36006.00
3.8600,36001.00
3.8700,35996.00
3.8800,35991.00
3.8900,35986.50
3.9000,35982.50
3.9100,35978.50
3.9200,35974.50
3.9300,35970.50
3.9400,35966.00
3.9500,35961.00
3.9600,35957.00
3.9700,35953.00
3.9800,35948.50
3.9900,35944.00
4.0000,35939.50
4.0100,35935.00
4.0200,35930.50
4.0300,35926.50
4.0400,35921.50
4.0500,35916.50
4.0600,35912.00
4.0700,35907.50
4.0800,35903.50
4.0900,35899.50
4.1000,35895.50
4.1100,35891.50
4.1200,35887.50
4.1300,35883.50
4.1400,35879.50
4.1500,35875.00
4.1600,35870.50
4.1700,35866.50
4.1800,35862.50
4.1900,35858.50
4.2000,35854.50
4.2100,35850.00
4.2200,35845.50
4.2300,35841.00
4.2400,35836.50
4.2500,35832.50
4.2600,35828.50
4.2700,35824.50
4.2800,35820.50
4.2900,35816.50
4.3000,35812.50
4.3100,35809.00
4.3200,35805.50
4.3300,35801.00
4.3400,35796.50
4.3500,35793.00
4.3600,35789.00
4.3700,35784.50
4.3800,35781.00
4.3900,35777.50
4.4000,35773.00
4.4100,35768.50
4.4200,35764.50
4.4300,35760.50
4.4400,35756.50
4.4500,35752.50
4.4600,35749.00
4.4700,35745.50
4.4800,35741.50
4.4900,35738.00
4.5000,35734.50
4.5100,35731.00
4.5200,35727.50
4.5300,35723.50
4.5400,35719.50
4.5500,35716.00
4.5600,35712.50
4.5700,35708.50
4.5800,35704.50
4.5900,35700.50
4.6000,35696.50
4.6100,35693.00
4.6200,35689.50
4.6300,35685.50
4.6400,35682.00
4.6500,35678.50
4.6600,35674.50
4.6700,35670.50
4.6800,35667.00
4.6900,35663.50
4.7000,35660.00
4.7100,35656.50
4.7200,35653.00
4.7300,35650.00
4.7400,35646.50
4.7500,35643.00
4.7600,35639.50
4.7700,35636.00
4.7800,35632.50
4.7900,35629.00
4.8000,35625.50
4.8100,35622.00
4.8200,35619.00
4.8300,35615.50
4.8400,35612.00
4.8500,35608.50
4.8600,35605.00
4.8700,35601.50
4.8800,35598.00
4.8900,35595.00
4.9000,35591.50
4.9100,35588.00
4.9200,35585.00
4.9300,35582.00
4.9400,35578.50
4.9500,35575.00
4.9600,35572.00
4.9700,35568.50
4.9800,35564.50
4.9900,35561.00
5.0000,35557.50
5.0100,35554.00
5.0200,35551.00
5.0300,35548.00
5.0400,35544.50
5.0500,35541.00
5.0600,35537.50
5.0700,35534.00
5.0800,35531.00
5.0900,35527.50
5.1000,35524.00
5.1100,35521.00
5.1200,35517.50
5.1300,35514.00
5.1400,35511.00
5.1500,35507.50
5.1600,35504.00
5.1700,35501.00
5.1800,35498.00
5.1900,35494.50
5.2000,35491.00
5.2100,35488.00
5.2200,35485.00
5.2300,35482.00
5.2400,35479.00
5.2500,35476.00
5.2600,35472.50
5.2700,35469.00
5.2800,35466.00
5.2900,35463.00
5.3000,35460.00
5.3100,35457.00
5.3200,35454.00
5.3300,35451.00
5.3400,35448.00
5.3500,35445.00
5.3600,35441.50
5.3700,35438.50
5.3800,35436.00
5.3900,35433.00
5.4000,35430.00
5.4100,35427.00
5.4200,35423.50
5.4300,35420.00
5.4400,35417.00
5.4500,35414.00
5.4600,35411.00
5.4700,35408.00
5.4800,35405.00
5.4900,35402.50
5.5000,35399.50
5.5100,35396.50
5.5200,35394.00
5.5300,35391.00
5.5400,35387.50
5.5500,35384.00
5.5600,35381.00
5.5700,35378.50
5.5800,35375.50
5.5900,35372.00
5.6000,35369.00
5.6100,35366.00
5.6200,35363.00
5.6300,35360.00
5.6400,35357.00
5.6500,35354.00
5.6600,35351.00
5.6700,35348.00
5.6800,35345.00
5.6900,35342.00
5.7000,35339.50
5.7100,35337.00
5.7200,35334.00
5.7300,35331.00
5.7400,35328.00
5.7500,35325.00
5.7600,35322.00
5.7700,35319.00
5.7800,35316.00
5.7900,35313.50
5.8000,35311.00
5.8100,35308.00
5.8200,35305.00
5.8300,35302.00
5.8400,35299.00
5.8500,35296.00
5.8600,35293.00
5.8700,35290.00
5.8800,35287.50
5.8900,35285.00
5.9000,35282.50
5.9100,35280.00
5.9200,35277.00
5.9300,35274.00
5.9400,35271.50
5.9500,35269.00
5.9600,35266.00
5.9700,35263.00
5.9800,35260.00
5.9900,35257.00
6.0000,35254.00
6.0100,35251.50
6.0200,35249.50
6.0300,35247.00
6.0400,35244.00
6.0500,35241.00
6.0600,35238.00
6.0700,35235.50
6.0800,35233.00
6.0900,35230.00
6.1000,35227.00
6.1100,35224.50
6.1200,35222.00
6.1300,35219.50
6.1400,35217.00
6.1500,35214.00
6.1600,35211.50
6.1700,35209.00
6.1800,35206.50
6.1900,35204.00
6.2000,35201.00
6.2100,35198.50
6.2200,35196.00
6.2300,35193.50
6.2400,35191.00
6.2500,35188.50
6.2600,35186.00
6.2700,35183.00
6.2800,35180.50
6.2900,35178.00
6.3000,35175.50
6.3100,35173.00
6.3200,35170.00
6.3300,35167.50
6.3400,35165.00
6.3500,35162.50
6.3600,35160.00
6.3700,35157.00
6.3800,35154.50
6.3900,35152.00
6.4000,35149.50
6.4100,35147.00
6.4200,35144.50
